# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_mol16_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL16-dimer_area"
"0.0";"2.490773"
"10.0";"2.462256"
"20.0";"2.842145"
"30.0";"2.984758"
"40.0";"2.874566"
"50.0";"2.756341"
"60.0";"2.654098"
"70.0";"2.76992"
"80.0";"2.819969"
"90.0";"2.821353"
"100.0";"2.990344"
"110.0";"2.762037"
"120.0";"3.110449"
"130.0";"3.166787"
"140.0";"3.165698"
"150.0";"3.296439"
"160.0";"3.396075"
"170.0";"3.647233"
"180.0";"3.903421"
"190.0";"4.124184"
"200.0";"4.258061"
"210.0";"3.967828"
"220.0";"4.088997"
"230.0";"3.964686"
"240.0";"4.083042"
"250.0";"4.127283"
"260.0";"4.518617"
"270.0";"4.537861"
"280.0";"4.713896"
"290.0";"4.254978"
"300.0";"4.456084"
"310.0";"4.300762"
"320.0";"4.507582"
"330.0";"4.830873"
"340.0";"5.097365"
"350.0";"5.277308"
"360.0";"5.336711"
"370.0";"5.423997"
"380.0";"5.361484"
"390.0";"5.403297"
"400.0";"5.475388"
"410.0";"5.147025"
"420.0";"5.047503"
"430.0";"4.723914"
"440.0";"4.709839"
"450.0";"4.813716"
"460.0";"4.844296"
"470.0";"4.994526"
"480.0";"5.057146"
"490.0";"5.028863"
"500.0";"5.178171"
"510.0";"4.886035"
"520.0";"4.835932"
"530.0";"4.847082"
"540.0";"4.464782"
"550.0";"4.48321"
"560.0";"4.539978"
"570.0";"4.558751"
"580.0";"4.678156"
"590.0";"4.649186"
"600.0";"4.648614"
"610.0";"4.982537"
"620.0";"5.097844"
"630.0";"5.452105"
"640.0";"5.694134"
"650.0";"5.407735"
"660.0";"5.427526"
"670.0";"5.368657"
"680.0";"5.37114"
"690.0";"5.558555"
"700.0";"5.587402"
"710.0";"5.486544"
"720.0";"5.415887"
"730.0";"5.528197"
"740.0";"5.713307"
"750.0";"5.7173"
"760.0";"5.58681"
"770.0";"5.517252"
"780.0";"5.254177"
"790.0";"5.291538"
"800.0";"5.38579"
"810.0";"5.66129"
"820.0";"5.363531"
"830.0";"5.643242"
"840.0";"5.430952"
"850.0";"5.585105"
"860.0";"5.543231"
"870.0";"5.856689"
"880.0";"5.709474"
"890.0";"5.76615"
"900.0";"5.747633"
"910.0";"5.594081"
"920.0";"5.724554"
"930.0";"5.785932"
"940.0";"5.906515"
"950.0";"6.090708"
"960.0";"6.177021"
"970.0";"6.376715"
"980.0";"6.424157"
"990.0";"6.624915"
"1000.0";"6.381557"
"1010.0";"6.571409"
"1020.0";"6.487757"
"1030.0";"6.52415"
"1040.0";"6.386816"
"1050.0";"6.381083"
"1060.0";"6.679032"
"1070.0";"6.185498"
"1080.0";"6.210267"
"1090.0";"6.398818"
"1100.0";"6.341263"
"1110.0";"6.242686"
"1120.0";"6.181486"
"1130.0";"6.332274"
"1140.0";"6.086377"
"1150.0";"5.95255"
"1160.0";"5.875896"
"1170.0";"5.972673"
"1180.0";"6.045772"
"1190.0";"6.09836"
"1200.0";"6.04408"
"1210.0";"5.725194"
"1220.0";"5.66441"
"1230.0";"5.551006"
"1240.0";"5.54442"
"1250.0";"5.379018"
"1260.0";"5.547705"
"1270.0";"5.737927"
"1280.0";"5.638797"
"1290.0";"5.525002"
"1300.0";"5.498249"
"1310.0";"5.432033"
"1320.0";"5.361146"
"1330.0";"5.122405"
"1340.0";"5.453847"
"1350.0";"5.18406"
"1360.0";"5.144535"
"1370.0";"5.45905"
"1380.0";"5.539687"
"1390.0";"5.712114"
"1400.0";"5.727787"
"1410.0";"5.854978"
"1420.0";"5.588812"
"1430.0";"5.891376"
"1440.0";"5.923408"
"1450.0";"6.288731"
"1460.0";"6.267896"
"1470.0";"5.98911"
"1480.0";"5.939591"
"1490.0";"6.097867"
"1500.0";"6.215108"
"1510.0";"6.01932"
"1520.0";"6.073272"
"1530.0";"5.850948"
"1540.0";"6.122676"
"1550.0";"6.159464"
"1560.0";"6.075869"
"1570.0";"6.073787"
